stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
1193,竹中,Zhuzhong,竹中,Zhuzhong,新竹縣竹東鎮頭重里竹中路 145 號,"No. 145, Zhuzhong Rd., Zhudong Township, Hsinchu County",03-5962042,24.78125 121.03117,N
1194,六家,Liujia,六家,Liujia,新竹縣竹北市隘口里復興三路二段 229 號,"No. 229, Sec. 2, Fuxing 3rd Rd., Zhubei City, Hsinchu County",03-5962042,24.80751 121.03921,N
1201,上員,Shangyuan,上員,Shangyuan,新竹縣竹東鎮上員里光明路 (無站房),"Guangming Rd. (No Station Building), Zhudong Township, Hsinchu County",03-5962042,24.77797 121.05554,N
1202,榮華,Ronghua,榮華,Ronghua,新竹縣竹東鎮仁愛里北興路 (無站房),"Beixing Rd. (No Station Building), Zhudong Township, Hsinchu County",03-5962042,24.74851 121.08296,N
1203,竹東,Zhudong,竹東,Zhudong,新竹縣竹東鎮雞林里東林路 196 號,"No. 196, Donglin Rd., Zhudong Township, Hsinchu County",03-5962042,24.73811 121.09465,N
1204,橫山,Hengshan,橫山,Hengshan,新竹縣橫山鄉橫山村橫山路 97 號 (無站房),"No. 97, Hengshan Rd. (No Station Building), Hengshan Township, Hsinchu County",03-5962042,24.72051 121.11657,N
1205,九讚頭,Jiuzantou,九讚頭,Jiuzantou,新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號,"No. 29, Ln. 286, Sec. 2, Zhongfeng Rd., Hengshan Township, Hsinchu County",03-5962042,24.72068 121.13621,N
1206,合興,Hexing,合興,Hexing,新竹縣橫山鄉力行村中山街一段 17 號,"No. 17, Sec. 1, Zhongshan St., Hengshan Township, Hsinchu County",03-5962042,24.71649 121.15434,N
1207,富貴,Fugui,富貴,Fugui,新竹縣橫山鄉豐田村中山街一段 (無站房),"Sec. 1, Zhongshan St. (No Station Building), Hengshan Township, Hsinchu County",03-5962042,24.71553 121.16729,N
1208,內灣,Neiwan,內灣,Neiwan,新竹縣橫山鄉內灣村中正路 6 號,"No. 6, Zhongzheng Rd., Hengshan Township, Hsinchu County",03-5962042,24.70526 121.18247,N
1210,新竹,Hsinchu,新竹,Hsinchu,新竹市 東區榮光里中華路二段 445 號,"No. 445, Sec. 2, Zhonghua Rd.,  , Hsinchu City",03-5237441,24.80169 120.97156,Y
1220,三姓橋,Sanxingqiao,三姓橋,Sanxingqiao,新竹市 香山區香山里元培街 32 巷 30 號,"No. 30, Ln. 32, Yuanpei St.,  , Hsinchu City",03-5237441,24.78723 120.92838,Y
1230,香山,Xiangshan,香山,Xiangshan,新竹市 香山區朝山里中華路五段 347 巷 2 弄 27 號,"No. 27, Aly. 2, Ln. 347, Sec. 5, Zhonghua Rd.,  , Hsinchu City",03-5237441,24.76321 120.91391,Y
1240,崎頂,Qiding,崎頂,Qiding,苗栗縣竹南鎮崎頂里北戶 55 號,"No. 55, Beihu, Zhunan Township, Miaoli County",037-472030,24.72281 120.87213,N
1250,竹南,Zhunan,竹南,Zhunan,苗栗縣竹南鎮竹南里中山路 166 號,"No. 166, Zhongshan Rd., Zhunan Township, Miaoli County",037-472030,24.68663 120.88041,Y
2110,談文,Tanwen,談文,Tanwen,苗栗縣造橋鄉談文村仁愛路 29 號,"No. 29, Ren’ai Rd., Zaoqiao Township, Miaoli County",037-472030,24.65641 120.85825,N
2120,大山,Dashan,大山,Dashan,苗栗縣後龍鎮大山里明山路 180 號,"No. 180, Mingshan Rd., Houlong Township, Miaoli County",037-728616,24.64565 120.80376,N
2130,後龍,Houlong,後龍,Houlong,苗栗縣後龍鎮北龍里車站街 127-2 號,"No. 127, Chezhan St., Houlong Township, Miaoli County",037-728616,24.61621 120.78731,Y
2140,龍港,Longgang,龍港,Longgang,苗栗縣後龍鎮龍京里公司寮 85 號,"No. 85, Gongsiliao, Houlong Township, Miaoli County",037-728616,24.61169 120.75812,N
2150,白沙屯,Baishatun,白沙屯,Baishatun,苗栗縣通霄鎮白西里白西 131 號,"No. 131, Baixi, Tongxiao Township, Miaoli County",037-793066,24.56481 120.70824,Y
2160,新埔,Xinpu,新埔,Xinpu,苗栗縣通霄鎮新埔里新埔 57 號,"No. 57, Xinpu, Tongxiao Township, Miaoli County",037-793066,24.54018 120.69518,N
2170,通霄,Tongxiao,通霄,Tongxiao,苗栗縣通霄鎮通西里中正路 109 號,"No. 109, Zhongzhen Rd., Tongxiao Township, Miaoli County",037-758300,24.49141 120.67843,Y
2180,苑裡,Yuanli,苑裡,Yuanli,苗栗縣苑裡鎮苑北里中山路 165 號,"No. 165, Zhongshan Rd., Yuanli Township, Miaoli County",037-851013,24.44344 120.65146,Y
2190,日南,Rinan,日南,Rinan,臺中市大甲區孟春里中山路二段 140 巷 8 號,"No. 8, Ln. 140, Sec. 2, Zhongshan Rd., Dajia Dist., Taichung City",04-26816113,24.37805 120.65412,Y
2200,大甲,Dajia,大甲,Dajia,臺中市大甲區大甲里中山路一段 828 號,"No. 828, Sec. 1, Zhongshan Rd., Dajia Dist., Taichung City",04-26872022,24.34448 120.62702,Y
2210,臺中港,Taichung Port,臺中港,Taichung Port,臺中市清水區頂湳里甲南路 2 號,"No. 2, Jianan Rd., Qingshui Dist., Taichung City",04-26225374,24.30441 120.60231,N
2220,清水,Qingshui,清水,Qingshui,臺中市清水區南社里中正街 115 號,"No. 115, Zhongzheng St., Qingshui Dist., Taichung City",04-26222021,24.26364 120.56918,Y
2230,沙鹿,Shalu,沙鹿,Shalu,臺中市沙鹿區沙鹿里中正街 94 號,"No. 94, Zhongzheng St., Shalu Dist., Taichung City",04-26625057,24.23702 120.55752,Y
2240,龍井,Longjing,龍井,Longjing,臺中市龍井區龍泉里龍新路 1 號,"No. 1, Longxin Rd., Longjing Dist., Taichung City",04-26355578,24.19745 120.54336,Y
2250,大肚,Dadu,大肚,Dadu,臺中市大肚區頂街里平和街 121 號,"No. 121, Pinghe St., Dadu Dist., Taichung City",04-26992523,24.15401 120.54255,Y
2260,追分,Zhuifen,追分,Zhuifen,臺中市大肚區王田里追分街 13 號,"No. 13, Zhuifen St., Dadu Dist., Taichung City",04-26933106,24.12061 120.57014,N
3140,造橋,Zaoqiao,造橋,Zaoqiao,苗栗縣造橋鄉造橋村平仁路 54 號,"No. 54, Pingren Rd., Zaoqiao Township, Miaoli County",037-472030,24.64206 120.86719,N
3150,豐富,Fengfu,豐富,Fengfu,苗栗縣後龍鎮校椅里高鐵一路 66 號,"No. 66, Gaotie 1st Rd., Houlong Township, Miaoli County",037-726700,24.60131 120.82357,Y
3160,苗栗,Miaoli,苗栗,Miaoli,苗栗縣苗栗市上苗里為公路 1 號,"No. 1, Weigong Rd., Miaoli City, Miaoli County",037-260031,24.57002 120.82264,Y
3170,南勢,Nanshi,南勢,Nanshi,苗栗縣苗栗市新英里南勢 39 號,"No. 39, Nanshi, Miaoli City, Miaoli County",037-260031,24.52234 120.79157,N
